latitude	longitude	logSoil
-16.5167	-50.65	0.979548375
-20.9333	-56.45	1.004321374
-9.3833	-62.1333	0.357934847
-10.25	-58.75	1.02325246
-15.3333	-58.85	1.048830087
-23.0167	-48.0167	1.070407322
-14.1167	-46.45	1.073351702
-17.65	-44.3	1.08849047
-12.25	-45.0833	1.094471129
-29.9	-57.0667	1.071882007
-29.3333	-51.7667	1.112605002
-9.85	-50.7667	1.110252917
-5.5	-41.8333	1.098297536
-15.3167	-58.7667	1.130655349
-23	-48.1667	0.850646235
-1.7	-54.4333	1.185542155
-15.5333	-45.7833	1.23299611
-14.6727	-43.8148	1.23299611
-15.0333	-47.0833	1.242292905
-6.7667	-40.6833	1.274388796
-1.6167	-54.5667	1.292477594
-30.05	-56.2667	1.316599302
-30.0167	-56.4	1.366982976
-5.1	-37.55	1.370142847
-15.2833	-44.3	1.39375064
-21.45	-56.8	1.393224116
-23.1333	-48.1667	1.405175546
-23.5167	-51.6833	1.416640507
-10.5818	-38.0185	1.458939862
-28.4333	-48.9833	1.4363217
-30.6667	-55.55	1.501470072
-10.8167	-37.1333	1.723373567
-15.76666667	-70.28333333	1.840106094
-8.947777778	-75.03611111	1.827369273
-15.66666667	-70.03333333	1.825426118
-3.2875	-79.90833333	1.773054693
8.066666667	-76.71666667	1.772321707
-7.666666667	-72.65	1.762678564
-5.059722222	-37.27	1.693199153
-0.916666667	-89.55	1.682145076
8.5	-77.31666667	1.657055853
-5.5	-37.58	1.648555169
3.483333333	-76.35	1.648360011
-30.68	-55.83	1.640978059
8.616666667	-72.66666667	1.635483747
-10.65972222	-68.11	1.610340704
-14.66083333	-74.82277778	1.606166315
-9.5	-40.4	1.599883072
-17.2	-70.96666667	1.596597096
-19.1	-57.58	1.595936906
-28	-55	1.591064608
3.483333333	-76.35	1.588831726
-15.86972222	-58.45	1.587823161
-14.1	-71.43333333	1.587710965
-1.47	-55.88	1.575649606
2.416666667	-76.58333333	1.564666064
-2.25	-79.64583333	1.545307116
-15.40972222	-43.29	1.542202788
-14.39	-48.54972222	1.541579236
-7.07	-76.52972222	1.540579722
-12.88	-74.5	1.536558427
-17.45	-70.04944444	1.53529412
-2.6	-54.95	1.523746467
9.65	-68.98333333	1.5132176
-29.75	-50.00972222	1.507855874
9.383333333	-66.33333333	1.506505032
-33	-53.04972222	1.492900001
-6.865833333	-73.36583333	1.492061616
-20.5	-56.66972222	1.461198277
-3.18	-52.22972222	1.459241661
-28.37	-54.11972222	1.454997228
-31.5	-54	1.435685119
1.183333333	-76.98333333	1.426511261
-4.566666667	-77.86666667	1.424881637
-4.849722222	-39.13972222	1.417637743
-5.23	-37.75	1.413802504
-4.349722222	-66.5	1.402948836
6.183333333	-57.58333333	1.399673721
3.083333333	-76.5	1.397940009
-0.25	-79	1.365487985
0.97	-77.74444444	1.36361198
-0.25	-79	1.36361198
-7.619722222	-73.77972222	1.36040406
-7.616666667	-73.78333333	1.359835482
-12.02972222	-62.31	1.356790459
-9.77	-70.73694444	1.352761206
-9.75	-70.66666667	1.352182518
5.7	-76.66666667	1.350248018
-9.35	-72.66972222	1.35005411
-8.02	-55.04972222	1.341236642
-7.38	-36	1.340840539
-3.433333333	-60.46666667	1.330413773
-1.97	-49.15	1.329194417
-15.47972222	-39.22972222	1.325925948
-26.21972222	-53.41972222	1.322219283
-6.48	-72.06972222	1.314709697
-9.859722222	-72.69972222	1.29534714
-0.74	-48.5	1.28080594
-9.166666667	-71.16666667	1.278753601
-2.95	-69.12	1.275541684
-12.8	-61.22972222	1.273695577
-3.25	-44.61	1.271609296
-4.063611111	-73.445	1.269512953
-8	-38.58	1.266701962
-31.2	-54.33	1.259593886
-26.93	-52.97	1.253337997
-11.47972222	-39.00972222	1.251394847
-0.25	-79	1.250420002
-21.92	-42.25	1.244524516
-30.2	-57.52	1.242044225
-7.8	-38.63	1.240549252
-29.27	-51.77	1.232996119
-13.35972222	-44.58	1.229169693
-20	-57.66972222	1.222976435
-16.1	-70.33	1.22089226
-9.869722222	-56.29972222	1.218797989
-12.5	-39.36	1.212187594
-11.39972222	-41.45	1.205475032
-0.25	-79	1.204119983
-16.23333333	-72.08333333	1.201397124
-18.43333333	-49.18333333	1.198657087
1.200555556	-77.32527778	1.193124598
-9.8	-68	1.191451011
-9.8	-68	1.190331698
-7.733333333	-35.25	1.190331698
-18.56972222	-45.36972222	1.185825361
-12.77	-46.59972222	1.184975187
-16.03083333	-71.83194444	1.180125881
-28.72972222	-56.09972222	1.18012588
-9.899722222	-37.2	1.178976953
-5.159722222	-38.11972222	1.178401339
-16.32972222	-70.25	1.177536501
-19.25	-39.83	1.172602926
-16.20972222	-48.29972222	1.172310954
-23.05	-49.75	1.164352856
-3.73	-62.72	1.159567182
-15	-39.81972222	1.157758889
-10.94583333	-74.235	1.153814863
-8.289722222	-73.61	1.144262773
-8.283333333	-73.6	1.1430148
-4.55	-37.75	1.135450709
-5.75	-35.29972222	1.135450707
-4.016666667	-77.76666667	1.133538908
-13.1	-60.45	1.130333768
-6.938611111	-76.1125	1.127104798
-0.233333333	-78.5	1.120573931
1.375555556	-77.2875	1.117271296
9.05	-69.73333333	1.117271296
-13.47	-40.47	1.11627559
-8.039722222	-66.69972222	1.115943186
-9.689722222	-66.05	1.115943186
-30.81972222	-53.81972222	1.114277304
-27.92	-52.83	1.114277284
-16.46166667	-71.83861111	1.11058971
-15.22972222	-43.86	1.110252906
-12	-50	1.103803721
-10.31972222	-67.45972222	1.102776624
10.35277778	-67.68333333	1.100370545
-1.133333333	-79.76666667	1.100370545
-8.1	-41.08	1.097604335
-7.9	-39.09972222	1.087781407
-18.37972222	-40.75	1.079543005
-11.59	-75.71472222	1.079543001
-16.25	-72.16666667	1.079181246
-8.416666667	-74.43333333	1.071882007
10.35277778	-67.68333333	1.071882007
-29.75	-57	1.071881993
-10.32972222	-39.06972222	1.069298022
-12.86972222	-46.56972222	1.065952968
-13.07972222	-44.15972222	1.060320043
-27.21972222	-51.33	1.05918462
-16.55	-71.35	1.056904851
-15.89972222	-43.02	1.054613064
-15.89972222	-43.7	1.053078453
9.383333333	-66.3	1.053078443
-16.35	-72.16666667	1.045322979
-19.32972222	-56	1.04257551
-29.87	-50.27972222	1.041787318
-15.85	-70.48	1.041392667
-11.43	-59.63	1.03941412
-21.5	-57.16972222	1.038222646
-16.31972222	-58.25	1.034227259
-17	-72.11666667	1.033423755
-17	-72.09972222	1.03261876
-10.1	-58.75	1.023252453
2.383333333	-72.63333333	1.021189299
-0.25	-79	1.017033339
-27.1	-53.65	1.016197345
-10.11972222	-67.76	0.998259335
-17.11583333	-71.83777778	0.995635191
-12.05	-77.01972222	0.992995101
-6	-80.41972222	0.992995081
-9.01	-54.93972222	0.99078269
-17.64972222	-71.31972222	0.987666256
-31.5	-54.13	0.97818051
7.083333333	-63.41666667	0.977723605
-20.78	-41.5	0.972665583
-4.019722222	-45.15	0.967547976
-16.09	-57.52972222	0.967547969
-10.41666667	-71.15	0.963787827
-11.64972222	-41.59972222	0.963787824
-20.25	-41.09972222	0.962842686
-10.42	-71.13583333	0.95999482
1.353611111	-77.27138889	0.954242509
-6.55	-36.54972222	0.953276327
-7.76	-35.47	0.949390016
-13.75	-41.84972222	0.946452276
2.769722222	-62.25	0.942999607
-31.46972222	-54.58	0.942008053
-5.44	-47.5	0.941014236
-20.15	-47.78333333	0.939519253
-8.52	-38.15	0.935003167
1.117222222	-77.38194444	0.934498451
0.583333333	-77.96666667	0.934498451
-1.379722222	-51.63	0.92992955
-10.44972222	-37.4	0.927883408
-0.233333333	-78.5	0.919078092
-9.77	-69.37972222	0.918554535
-4.88	-72.15	0.917505509
